FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2023-10-01,0.0,0.0,0.0,1
2023-10-02,-0.17,-0.24,0.03,1
2023-10-03,-0.25,-0.1,-0.18,1
2023-10-04,0.01,-0.12,-0.25,1
2023-10-05,-0.33,-0.34,0.32,1
2023-10-06,-0.12,-0.15,-0.31,1
2023-10-07,-0.17,-0.24,-0.34,1
2023-10-08,0.01,-0.31,0.41,1
2023-10-09,-0.24,-0.35,0.45,1
2023-10-10,-0.01,-0.28,0.12,1
2023-10-11,0.11,-0.23,-0.48,1
2023-10-12,0.04,-0.27,-0.02,1
2023-10-13,-0.09,-0.48,0.32,1
2023-10-14,-0.04,-0.27,0.09,1
2023-10-15,-0.21,-0.22,-0.28,1
2023-10-16,0.19,-0.28,0.07,1
2023-10-17,0.09,-0.37,0.35,1
2023-10-18,0.01,-0.41,0.58,1
2023-10-19,0.01,-0.36,0.22,1
2023-10-20,-0.05,-0.38,-0.04,1
2023-10-21,0.18,-0.23,-1.01,1
2023-10-22,0.03,-0.26,0.0,1
2023-10-23,0.06,-0.27,-0.17,1
2023-10-24,0.04,-0.49,-0.39,1
2023-10-25,0.12,-0.35,-0.36,1
2023-10-26,0.09,-0.43,0.18,1
2023-10-27,0.2,-0.28,0.25,1
2023-10-28,-0.01,-0.55,-0.37,1
2023-10-29,-0.03,-0.46,0.45,1
2023-10-30,-0.08,-0.51,0.2,1
2023-10-31,0.03,-0.44,0.25,1
2023-11-01,-0.09,-0.47,0.47,1
2023-11-02,0.01,-0.38,0.06,1
2023-11-03,0.07,-0.29,0.39,1
2023-11-04,-0.01,-0.29,0.84,1
2023-11-05,0.1,-0.31,0.03,1
2023-11-06,0.04,-0.37,0.79,1
2023-11-07,-0.1,-0.34,-0.12,1
2023-11-08,-0.1,-0.29,-0.88,1
2023-11-09,-0.01,-0.28,-0.39,1
2023-11-10,0.11,-0.27,-0.08,1
2023-11-11,0.08,-0.43,0.33,1
2023-11-12,-0.06,-0.49,0.21,1
2023-11-13,-0.22,-0.37,0.2,1
2023-11-14,0.07,-0.31,-0.07,1
2023-11-15,0.1,-0.44,0.36,1
2023-11-16,-0.07,-0.37,0.09,1
2023-11-17,-0.15,-0.3,0.18,1
2023-11-18,0.04,-0.41,0.23,1
2023-11-19,0.02,-0.16,-0.19,1
2023-11-20,0.05,-0.36,0.34,1
2023-11-21,0.01,-0.34,-0.59,1
2023-11-22,0.06,-0.41,0.07,1
2023-11-23,0.06,-0.22,0.27,1
2023-11-24,0.01,-0.72,0.4,1
2023-11-25,0.07,-0.43,-0.65,1
2023-11-26,0.13,-0.45,0.18,1
2023-11-27,-0.01,-0.5,0.01,1
2023-11-28,-0.02,-0.39,0.02,1
2023-11-29,0.14,-0.48,0.05,1
2023-11-30,0.04,-0.56,0.82,1
2023-12-01,0.26,-0.28,0.34,1
2023-12-02,0.19,-0.34,0.13,1
2023-12-03,0.06,-0.49,0.1,1
2023-12-04,-0.06,-0.46,-0.02,1
2023-12-05,0.04,-0.63,0.07,1
2023-12-06,0.06,-0.43,-0.05,1
2023-12-07,0.05,-0.67,0.12,1
2023-12-08,0.18,-0.59,-0.13,1
2023-12-09,0.06,-0.41,-0.03,1
2023-12-10,0.15,-0.44,0.28,1
2023-12-11,0.05,-0.5,0.06,1
2023-12-12,0.03,-0.41,-0.05,1
2023-12-13,-0.04,-0.18,-0.06,1
2023-12-14,0.11,-0.56,0.6,1
2023-12-15,0.15,-0.5,-0.07,1
2023-12-16,0.07,-0.34,-0.32,1
2023-12-17,0.02,-0.43,0.69,1
2023-12-18,0.02,-0.45,-0.28,1
2023-12-19,0.15,-0.63,-0.47,1
2023-12-20,0.06,-0.35,0.08,1
2023-12-21,0.1,-0.44,0.07,1
2023-12-22,0.16,-0.38,0.69,1
2023-12-23,0.2,-0.72,0.02,1
2023-12-24,0.12,-0.57,0.5,1
2023-12-25,0.12,-0.58,0.42,1
2023-12-26,0.21,-0.5,0.35,1
2023-12-27,0.01,-0.29,-0.89,1
2023-12-28,0.16,-0.28,-0.14,1
2023-12-29,-0.04,-0.41,0.25,1
2023-12-30,0.01,-0.38,0.49,1
2023-12-31,0.02,-0.15,0.02,1
2024-01-01,0.15,-0.4,0.23,1
2024-01-02,0.15,-0.43,0.02,1
2024-01-03,0.17,-0.27,-0.26,1
2024-01-04,0.04,-0.18,-0.93,1
2024-01-05,-0.03,-0.35,0.17,1
2024-01-06,0.26,-0.51,0.41,1
2024-01-07,0.08,-0.29,-0.04,1
2024-01-08,-0.01,-0.32,0.29,1
2024-01-09,-0.02,-0.39,0.14,1
2024-01-10,0.08,-0.26,-0.65,1
2024-01-11,-0.06,-0.51,1.09,1
2024-01-12,0.27,-0.58,0.22,1
2024-01-13,0.22,-0.47,0.04,1
2024-01-14,0.05,-0.3,0.2,1
2024-01-15,0.26,-0.51,0.87,1
2024-01-16,0.07,-0.48,-1.03,1
2024-01-17,0.36,-0.35,-0.01,1
2024-01-18,0.13,-0.4,-1.07,1
2024-01-19,-0.19,-0.23,-1.16,1
2024-01-20,0.41,-0.46,-0.14,1
2024-01-21,0.21,-0.31,-0.23,1
2024-01-22,-0.15,-0.27,-0.12,1
2024-01-23,-0.13,-0.23,0.49,1
2024-01-24,-0.08,-0.33,-0.02,1
2024-01-25,0.24,-0.51,0.51,1
2024-01-26,0.1,-0.4,-0.05,1
2024-01-27,-0.18,-0.5,0.03,1
2024-01-28,-0.08,-0.43,0.29,0
2024-01-29,0.11,-0.59,0.67,1
2024-01-30,-0.37,-0.81,0.23,1
