FECHA_UTC,ALTURA,VOLCAN
2019-01-02,588,UBINAS
2019-10-02,676,UBINAS
2019-10-03,586,UBINAS
2019-10-04,770,UBINAS
2019-10-05,126,UBINAS
2019-10-06,295,UBINAS
2019-10-07,739,UBINAS
2019-10-08,495,UBINAS
2019-10-09,788,UBINAS
2019-10-10,249,UBINAS
2019-10-11,242,UBINAS
2019-10-12,386,UBINAS
2019-10-13,453,UBINAS
2019-10-15,578,UBINAS
2019-10-16,545,UBINAS
2019-10-17,228,UBINAS
2019-10-18,403,UBINAS
2019-10-19,411,UBINAS
2019-10-20,486,UBINAS
2019-10-20,1051,UBINAS
2019-10-20,653,UBINAS
2019-10-21,485,UBINAS
2019-10-21,211,UBINAS
2019-10-22,443,UBINAS
2019-10-22,486,UBINAS
2019-10-23,1008,UBINAS
2019-10-24,175,UBINAS
2019-10-25,620,UBINAS
2019-10-26,926,UBINAS
2019-10-27,603,UBINAS
2019-10-28,836,UBINAS
2019-10-29,753,UBINAS
2019-10-30,411,UBINAS
2019-10-31,352,UBINAS
2019-11-01,461,UBINAS
2019-11-02,601,UBINAS
2019-11-03,420,UBINAS
2019-11-04,676,UBINAS
2019-11-05,683,UBINAS
2019-11-06,718,UBINAS
2019-11-07,812,UBINAS
2019-11-08,783,UBINAS
2019-11-09,579,UBINAS
2019-11-11,196,UBINAS
2019-11-12,203,UBINAS
2019-11-13,303,UBINAS
2019-11-14,367,UBINAS
2019-11-15,270,UBINAS
2019-11-16,267,UBINAS
2019-11-18,736,UBINAS
2019-11-19,433,UBINAS
2019-11-20,287,UBINAS
2019-11-22,945,UBINAS
2019-11-24,134,UBINAS
2019-11-26,145,UBINAS
2019-11-27,128,UBINAS
2019-11-28,195,UBINAS
2019-11-29,287,UBINAS
2019-11-30,245,UBINAS
2019-12-01,1003,UBINAS
2019-12-02,262,UBINAS
2019-12-03,295,UBINAS
2019-12-04,386,UBINAS
2019-12-05,287,UBINAS
2019-12-06,503,UBINAS
2019-12-07,253,UBINAS
2019-12-08,153,UBINAS
2019-12-09,337,UBINAS
2019-12-10,286,UBINAS
2019-12-11,333,UBINAS
2019-12-12,303,UBINAS
2019-12-13,361,UBINAS
2019-12-14,278,UBINAS
2019-12-15,345,UBINAS
2019-12-16,284,UBINAS
2019-12-17,362,UBINAS
2019-12-18,220,UBINAS
2019-12-19,470,UBINAS
2019-12-20,245,UBINAS
2019-12-21,611,UBINAS
2019-12-22,720,UBINAS
2019-12-23,1045,UBINAS
2019-12-24,510,UBINAS
2019-12-25,820,UBINAS
2019-12-26,261,UBINAS
2019-12-27,212,UBINAS
2019-12-28,137,UBINAS
2019-12-29,352,UBINAS
2019-12-30,346,UBINAS
2019-12-31,383,UBINAS
2020-01-01,1000,UBINAS
2020-01-02,391,UBINAS
2020-01-03,211,UBINAS
2020-01-04,655,UBINAS
2020-01-05,338,UBINAS
2020-01-06,444,UBINAS
2020-01-07,380,UBINAS
2020-01-08,206,UBINAS
2020-01-09,333,UBINAS
2020-01-10,393,UBINAS
2020-01-11,101,UBINAS
2020-01-12,281,UBINAS
2020-01-13,391,UBINAS
2020-01-14,475,UBINAS
2020-01-15,507,UBINAS
2020-01-16,528,UBINAS
2020-01-17,157,UBINAS
2020-01-18,101,UBINAS
2020-01-19,354,UBINAS
2020-01-20,555,UBINAS
2020-01-22,218,UBINAS
2020-01-24,113,UBINAS
2020-01-26,327,UBINAS
2020-01-28,1025,UBINAS
2020-01-29,100,UBINAS
2020-01-30,383,UBINAS
2020-01-31,162,UBINAS
2020-02-01,1000,UBINAS
2020-02-02,400,UBINAS
2020-02-03,300,UBINAS
2020-02-04,157,UBINAS
2020-02-05,105,UBINAS
2020-02-06,150,UBINAS
2020-02-07,153,UBINAS
2020-02-08,100,UBINAS
2020-02-09,1000,UBINAS
2020-02-10,200,UBINAS
2020-02-11,370,UBINAS
2020-02-12,500,UBINAS
2020-02-13,100,UBINAS
2020-02-14,200,UBINAS
2020-02-15,150,UBINAS
2020-02-16,200,UBINAS
2020-02-17,200,UBINAS
2020-02-19,100,UBINAS
2020-02-23,160,UBINAS
2020-02-24,150,UBINAS
2020-02-28,100,UBINAS
2020-02-29,1000,UBINAS
2020-03-01,1000,UBINAS
2020-03-02,200,UBINAS
2020-03-03,300,UBINAS
2020-03-04,400,UBINAS
2020-03-05,400,UBINAS
2020-03-06,250,UBINAS
2020-03-07,200,UBINAS
2020-03-08,300,UBINAS
2020-03-09,600,UBINAS
2020-03-10,130,UBINAS
2020-03-11,100,UBINAS
2020-03-12,170,UBINAS
2020-03-13,150,UBINAS
2020-03-14,120,UBINAS
2020-03-15,300,UBINAS
2020-03-18,300,UBINAS
2020-03-19,200,UBINAS
2020-03-20,300,UBINAS
2020-03-21,400,UBINAS
2020-03-22,250,UBINAS
2020-03-26,500,UBINAS
2020-03-29,100,UBINAS
2020-04-03,100,UBINAS
2020-04-04,100,UBINAS
2020-04-05,200,UBINAS
2020-04-06,100,UBINAS
2020-04-09,200,UBINAS
2020-04-11,500,UBINAS
2020-04-12,600,UBINAS
2020-04-13,300,UBINAS
2020-04-14,500,UBINAS
2020-04-15,500,UBINAS
2020-04-16,800,UBINAS
2020-04-17,200,UBINAS
2020-04-21,150,UBINAS
2020-04-22,300,UBINAS
2020-04-24,100,UBINAS
2020-04-25,300,UBINAS
2020-04-26,200,UBINAS
2020-04-28,300,UBINAS
2020-04-29,600,UBINAS
2020-04-30,200,UBINAS
2020-05-01,200,UBINAS
2020-05-02,100,UBINAS
2020-05-03,100,UBINAS
2020-05-06,300,UBINAS
2020-05-07,200,UBINAS
2020-05-08,100,UBINAS
2020-05-09,200,UBINAS
2020-05-10,100,UBINAS
2020-05-11,300,UBINAS
2020-05-12,200,UBINAS
2020-05-15,200,UBINAS
2020-05-16,200,UBINAS
2020-05-17,100,UBINAS
2020-05-18,500,UBINAS
2020-05-19,500,UBINAS
2020-05-20,100,UBINAS
2020-05-21,500,UBINAS
2020-05-22,100,UBINAS
2020-05-23,200,UBINAS
2020-05-25,400,UBINAS
2020-05-26,200,UBINAS
2020-05-28,300,UBINAS
2020-05-29,400,UBINAS
2020-05-30,100,UBINAS
2020-06-01,400,UBINAS
2020-06-02,300,UBINAS
